 [QUOTE_READTIME], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022410, 0.007590, , 0.000000, 21.460000, 13 x 2, 38.100000, 40.520000,371.0, 0.010000, 0.010000, 0 x 923, 0.010000, -0.002330, 0.000510, 0.000880, -0.010200, 0.000000, 0.807230, 0.000000,39.7,0.097
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022460, 0.007410, , 1.000000, 38.250000, 5 x 2, 37.100000, 39.520000,372.0, 0.010000, 0.010000, 0 x 923, 0.010000, -0.002400, 0.000450, 0.001410, -0.010170, -0.000070, 0.788600, 0.000000,38.7,0.094
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022720, 0.006980, , 13.000000, 37.130000, 11 x 2, 36.100000, 38.520000,373.0, 0.010000, 0.010000, 0 x 951, 0.010000, -0.002440, 0.000530, 0.001210, -0.010490, -0.000500, 0.768820, 0.000000,37.7,0.092
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021950, 0.007420, , 1.000000, 38.790000, 13 x 2, 35.100000, 37.520000,374.0, 0.010000, 0.010000, 0 x 2431, 0.010000, -0.002650, 0.000540, 0.001880, -0.009950, 0.000000, 0.750620, 1.000000,36.7,0.089
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022820, 0.007500, , 53.000000, 35.680000, 13 x 2, 34.100000, 36.520000,375.0, 0.010000, 0.010000, 0 x 880, 0.010000, -0.002760, 0.000550, 0.001190, -0.010100, 0.000000, 0.731030, 50.000000,35.7,0.087
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022440, 0.007840, , 0.000000, 24.890000, 11 x 2, 33.100000, 35.520000,376.0, 0.010000, 0.010000, 0 x 1977, 0.010000, -0.002390, 0.000580, 0.001640, -0.010680, 0.000000, 0.711680, 0.000000,34.7,0.085
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022460, 0.007580, , 4.000000, 33.830000, 5 x 2, 32.100000, 34.520000,377.0, 0.010000, 0.010000, 0 x 928, 0.010000, -0.002260, 0.000620, 0.001630, -0.010520, 0.000000, 0.692820, 4.000000,33.7,0.082
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022450, 0.007050, , 3.000000, 33.720000, 13 x 2, 31.100000, 33.520000,378.0, 0.010000, 0.010000, 0 x 924, 0.010000, -0.002490, 0.000730, 0.001430, -0.010130, 0.000000, 0.673630, 0.000000,32.7,0.08
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022230, 0.007560, , 2.000000, 30.820000, 13 x 2, 30.100000, 32.520000,379.0, 0.010000, 0.010000, 0 x 928, 0.010000, -0.002920, 0.000690, 0.001390, -0.009960, -0.000110, 0.654220, 4.000000,31.7,0.077
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.023180, 0.007400, , 3.000000, 29.500000, 5 x 2, 29.100000, 31.550000,380.0, 0.010000, 0.010000, 0 x 925, 0.010000, -0.002810, 0.000790, 0.001660, -0.010780, -0.000380, 0.635310, 21.000000,30.7,0.075
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022330, 0.007600, , 1.000000, 30.530000, 13 x 2, 28.100000, 30.520000,381.0, 0.010000, 0.010000, 0 x 924, 0.010000, -0.003170, 0.000760, 0.001690, -0.009580, -0.000270, 0.611630, 2.000000,29.7,0.072
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022600, 0.007700, , 0.000000, 26.570000, 13 x 2, 27.100000, 29.520000,382.0, 0.010000, 0.010000, 0 x 923, 0.020000, -0.003280, 0.000870, 0.001820, -0.009800, 0.000000, 0.591900, 0.000000,28.7,0.07
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022940, 0.007250, , 5.000000, 28.320000, 13 x 2, 26.100000, 28.520000,383.0, 0.010000, 0.010000, 0 x 922, 0.010000, -0.002920, 0.000880, 0.001250, -0.009410, 0.000000, 0.572880, 200.000000,27.7,0.067
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.023250, 0.007850, , 10.000000, 27.250000, 13 x 2, 25.100000, 27.520000,384.0, 0.020000, 0.010000, 0 x 1307, 0.010000, -0.004270, 0.001240, 0.002450, -0.015160, -0.000530, 0.580860, 102.000000,26.7,0.065
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 0.991480, 0.002070, 0.003780, -0.055500, 0.007570, 0.610770, 177.000000, 25.400000, 1 x 1, 25.000000, 26.550000,385.0, 0.010000, 0.010000, 0 x 3079, 0.010000, -0.002860, 0.001030, 0.001960, -0.009920, -0.000260, 0.533260, 1.000000,25.7,0.063
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022960, 0.007790, , 4.000000, 25.330000, 13 x 2, 23.100000, 25.520000,386.0, 0.020000, 0.010000, 0 x 1328, 0.010000, -0.004270, 0.001370, 0.002590, -0.014300, -0.000280, 0.538650, 6.000000,24.7,0.06
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.023390, 0.007550, , 2.000000, 23.470000, 2 x 2, 22.100000, 24.520000,387.0, 0.020000, 0.010000, 0 x 3069, 0.010000, -0.004420, 0.001470, 0.002780, -0.014680, 0.000000, 0.518220, 2.000000,23.7,0.058
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022870, 0.007710, , 9.000000, 23.950000, 13 x 300, 21.100000, 23.310000,388.0, 0.010000, 0.010000, 0 x 3651, 0.010000, -0.003330, 0.001270, 0.001860, -0.010220, -0.000240, 0.478090, 17.000000,22.7,0.055
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.023030, 0.007510, , 160.000000, 21.610000, 9 x 2, 20.100000, 22.520000,389.0, 0.010000, 0.010000, 149 x 3245, 0.010000, -0.003660, 0.001360, 0.001920, -0.009640, -0.000090, 0.457970, 33.000000,21.7,0.053
